,Class,ImageId,Probability,Xmax,Xmin,Ymax,Ymin
24,train,COCO_val2014_000000051249.jpg,97.32918739318848,490.0,149.0,426.0,191.0
25,train,COCO_val2014_000000052066.jpg,94.91612315177917,525.0,231.0,293.0,77.0
26,train,COCO_val2014_000000052238.jpg,96.853506565094,646.0,18.0,479.0,36.0
27,train,COCO_val2014_000000052238.jpg,90.4160737991333,313.0,55.0,516.0,0.0
28,train,COCO_val2014_000000059009.jpg,92.89489984512329,281.0,140.0,448.0,268.0
29,train,COCO_val2014_000000060090.jpg,96.51967287063599,504.0,244.0,309.0,97.0
30,train,COCO_val2014_000000061268.jpg,96.55093550682068,587.0,130.0,375.0,130.0
31,train,COCO_val2014_000000067704.jpg,92.56156086921692,812.0,-37.0,369.0,36.0
32,train,COCO_val2014_000000067948.jpg,95.7298994064331,719.0,32.0,310.0,98.0
33,train,COCO_val2014_000000068128.jpg,78.85801196098328,443.0,36.0,387.0,147.0
34,train,COCO_val2014_000000068217.jpg,99.24964904785156,612.0,52.0,367.0,140.0
35,train,COCO_val2014_000000068352.jpg,91.87320470809937,562.0,43.0,216.0,28.0
36,train,COCO_val2014_000000069553.jpg,89.60142135620117,484.0,207.0,373.0,-14.0
37,train,COCO_val2014_000000076513.jpg,99.56517815589905,479.0,129.0,369.0,55.0
38,train,COCO_val2014_000000076547.jpg,87.0918869972229,443.0,55.0,406.0,110.0
39,train,COCO_val2014_000000076625.jpg,99.25926327705383,590.0,92.0,461.0,92.0
40,train,COCO_val2014_000000076625.jpg,91.23988747596741,369.0,36.0,313.0,55.0
41,train,COCO_val2014_000000076768.jpg,95.78098654747009,418.0,90.0,454.0,218.0
42,train,COCO_val2014_000000083602.jpg,98.81101846694946,572.0,49.0,359.0,65.0
43,train,COCO_val2014_000000083602.jpg,90.5798614025116,375.0,16.0,294.0,81.0
44,train,COCO_val2014_000000084521.jpg,97.51710891723633,688.0,16.0,409.0,16.0
45,train,COCO_val2014_000000084521.jpg,86.72265410423279,458.0,0.0,393.0,98.0
46,train,COCO_val2014_000000084693.jpg,98.67136478424072,706.0,-28.0,332.0,193.0
47,train,COCO_val2014_000000084693.jpg,90.70698022842407,415.0,0.0,346.0,110.0
48,train,COCO_val2014_000000084693.jpg,88.70702385902405,636.0,55.0,332.0,83.0
49,train,COCO_val2014_000000085097.jpg,95.08357644081116,447.0,94.0,447.0,188.0
50,train,COCO_val2014_000000085292.jpg,98.6798346042633,443.0,98.0,328.0,147.0
51,train,COCO_val2014_000000085292.jpg,95.31265497207642,541.0,114.0,295.0,98.0
52,train,COCO_val2014_000000085292.jpg,82.54546523094177,607.0,213.0,229.0,98.0
53,train,COCO_val2014_000000085328.jpg,99.32451844215393,589.0,98.0,491.0,98.0
54,train,COCO_val2014_000000085328.jpg,82.44929909706116,393.0,78.0,432.0,78.0
55,train,COCO_val2014_000000091954.jpg,81.84944987297058,756.0,110.0,406.0,221.0
56,train,COCO_val2014_000000092115.jpg,96.90927267074585,457.0,16.0,506.0,147.0
57,train,COCO_val2014_000000093236.jpg,95.68327069282532,683.0,-49.0,341.0,48.0
58,train,COCO_val2014_000000093434.jpg,84.260493516922,441.0,38.0,389.0,-65.0
59,train,COCO_val2014_000000094168.jpg,99.22621250152588,524.0,163.0,360.0,81.0
60,train,COCO_val2014_000000094168.jpg,94.73235607147217,409.0,114.0,294.0,49.0
61,train,COCO_val2014_000000101145.jpg,97.13438153266907,572.0,0.0,294.0,130.0
62,train,COCO_val2014_000000101913.jpg,86.37106418609619,347.0,0.0,186.0,62.0
63,train,COCO_val2014_000000110389.jpg,83.1588089466095,409.0,241.0,372.0,204.0
64,train,COCO_val2014_000000116750.jpg,95.45080661773682,670.0,-82.0,359.0,49.0
65,train,COCO_val2014_000000116951.jpg,99.3556797504425,530.0,64.0,353.0,160.0
66,train,COCO_val2014_000000118529.jpg,95.60997486114502,604.0,32.0,261.0,147.0
67,train,COCO_val2014_000000118529.jpg,87.60286569595337,326.0,0.0,277.0,147.0
68,train,COCO_val2014_000000125375.jpg,89.55870270729065,369.0,-19.0,295.0,166.0
69,train,COCO_val2014_000000125513.jpg,98.9209234714508,526.0,32.0,362.0,98.0
70,train,COCO_val2014_000000125815.jpg,98.29740524291992,553.0,184.0,424.0,129.0
71,train,COCO_val2014_000000126131.jpg,98.70591163635254,506.0,185.0,354.0,168.0
72,train,COCO_val2014_000000126131.jpg,89.38412666320801,590.0,337.0,287.0,135.0
73,train,COCO_val2014_000000132683.jpg,93.3031976222992,606.0,98.0,294.0,81.0
74,train,COCO_val2014_000000132683.jpg,81.87690377235413,589.0,327.0,344.0,98.0
75,train,COCO_val2014_000000133000.jpg,97.51582741737366,689.0,98.0,410.0,147.0
76,train,COCO_val2014_000000133000.jpg,93.08844208717346,410.0,82.0,394.0,164.0
77,train,COCO_val2014_000000133537.jpg,95.9701657295227,474.0,81.0,653.0,16.0
78,train,COCO_val2014_000000133567.jpg,94.30021643638611,642.0,16.0,296.0,65.0
79,train,COCO_val2014_000000134010.jpg,94.4264829158783,516.0,92.0,572.0,276.0
80,train,COCO_val2014_000000134722.jpg,98.96230697631836,683.0,184.0,369.0,203.0
81,train,COCO_val2014_000000134844.jpg,98.32783341407776,507.0,163.0,376.0,131.0
82,train,COCO_val2014_000000143217.jpg,86.83077096939087,655.0,409.0,360.0,131.0
83,train,COCO_val2014_000000149329.jpg,94.40606832504272,604.0,103.0,345.0,155.0
84,train,COCO_val2014_000000149588.jpg,98.8940417766571,492.0,49.0,344.0,164.0
85,train,COCO_val2014_000000149731.jpg,98.01216125488281,573.0,65.0,376.0,98.0
86,train,COCO_val2014_000000150091.jpg,99.09221529960632,572.0,65.0,359.0,32.0
87,train,COCO_val2014_000000151135.jpg,99.20862317085266,576.0,49.0,395.0,197.0
88,train,COCO_val2014_000000157261.jpg,97.82055020332336,640.0,-39.0,466.0,174.0
89,train,COCO_val2014_000000157955.jpg,83.86419415473938,394.0,65.0,279.0,98.0
90,train,COCO_val2014_000000158084.jpg,92.80396699905396,406.0,73.0,498.0,203.0
91,train,COCO_val2014_000000158950.jpg,91.55772924423218,533.0,80.0,371.0,242.0
92,train,COCO_val2014_000000159260.jpg,95.21268606185913,558.0,-50.0,312.0,65.0
93,train,COCO_val2014_000000159402.jpg,85.47860383987427,553.0,55.0,516.0,55.0
94,train,COCO_val2014_000000159684.jpg,99.62079524993896,626.0,89.0,358.0,119.0
95,train,COCO_val2014_000000159684.jpg,80.98303079605103,432.0,14.0,388.0,89.0
96,train,COCO_val2014_000000159684.jpg,78.06766629219055,686.0,238.0,328.0,164.0
97,train,COCO_val2014_000000165697.jpg,95.97468972206116,636.0,166.0,276.0,110.0
98,train,COCO_val2014_000000165697.jpg,93.41357350349426,456.0,83.0,235.0,96.0
99,train,COCO_val2014_000000165697.jpg,81.00410103797913,207.0,55.0,152.0,83.0
100,train,COCO_val2014_000000165697.jpg,80.04195094108582,346.0,69.0,180.0,69.0
101,train,COCO_val2014_000000166541.jpg,99.45294260978699,590.0,132.0,295.0,88.0
102,train,COCO_val2014_000000166837.jpg,99.37680959701538,509.0,147.0,361.0,82.0
103,train,COCO_val2014_000000166896.jpg,97.41454720497131,507.0,-33.0,311.0,147.0
104,train,COCO_val2014_000000174329.jpg,98.9133894443512,711.0,0.0,355.0,77.0
105,train,COCO_val2014_000000174329.jpg,91.17261171340942,633.0,247.0,340.0,46.0
106,train,COCO_val2014_000000174420.jpg,96.92301154136658,372.0,48.0,307.0,64.0
107,train,COCO_val2014_000000174987.jpg,83.7938666343689,756.0,-56.0,424.0,0.0
108,train,COCO_val2014_000000175197.jpg,99.10823106765747,686.0,81.0,343.0,32.0
109,train,COCO_val2014_000000175197.jpg,81.73772692680359,653.0,392.0,294.0,81.0
110,train,COCO_val2014_000000175197.jpg,80.11314868927002,392.0,81.0,375.0,49.0
111,train,COCO_val2014_000000175994.jpg,97.85345792770386,604.0,49.0,343.0,98.0
112,train,COCO_val2014_000000183519.jpg,97.15937376022339,738.0,-19.0,498.0,0.0
113,train,COCO_val2014_000000183519.jpg,80.24136424064636,646.0,221.0,627.0,-74.0
114,train,COCO_val2014_000000190546.jpg,86.01529598236084,408.0,212.0,277.0,147.0
115,train,COCO_val2014_000000191893.jpg,97.08791971206665,577.0,82.0,313.0,164.0
116,train,COCO_val2014_000000191893.jpg,83.19578766822815,329.0,32.0,296.0,164.0
117,train,COCO_val2014_000000192001.jpg,99.18992519378662,581.0,183.0,352.0,30.0
118,train,COCO_val2014_000000192332.jpg,99.712735414505,664.0,110.0,332.0,110.0
119,train,COCO_val2014_000000198447.jpg,89.54117894172668,387.0,73.0,276.0,0.0
120,train,COCO_val2014_000000198550.jpg,99.02646541595459,519.0,155.0,346.0,138.0
121,train,COCO_val2014_000000199959.jpg,98.35699200630188,466.0,14.0,335.0,131.0
122,train,COCO_val2014_000000199990.jpg,98.30152988433838,663.0,18.0,405.0,128.0
123,train,COCO_val2014_000000200162.jpg,95.15835642814636,653.0,-50.0,326.0,147.0
124,train,COCO_val2014_000000200162.jpg,88.78371715545654,408.0,16.0,310.0,163.0
125,train,COCO_val2014_000000206994.jpg,97.26601243019104,607.0,197.0,344.0,197.0
126,train,COCO_val2014_000000208524.jpg,95.9864616394043,709.0,240.0,281.0,93.0
127,train,COCO_val2014_000000208648.jpg,98.22882413864136,504.0,184.0,252.0,50.0
128,train,COCO_val2014_000000215439.jpg,83.59315991401672,332.0,-19.0,350.0,147.0
129,train,COCO_val2014_000000215549.jpg,98.16566109657288,566.0,49.0,590.0,147.0
130,train,COCO_val2014_000000223019.jpg,99.1215467453003,558.0,82.0,410.0,0.0
131,train,COCO_val2014_000000223019.jpg,86.14529371261597,328.0,98.0,394.0,16.0
132,train,COCO_val2014_000000223777.jpg,78.84876132011414,627.0,461.0,276.0,129.0
133,train,COCO_val2014_000000223905.jpg,95.7598626613617,720.0,180.0,409.0,196.0
134,train,COCO_val2014_000000224554.jpg,99.26016926765442,479.0,166.0,387.0,92.0
135,train,COCO_val2014_000000224554.jpg,81.08137249946594,369.0,129.0,350.0,36.0
136,train,COCO_val2014_000000231163.jpg,91.93785190582275,676.0,292.0,399.0,169.0
137,train,COCO_val2014_000000231169.jpg,98.66535067558289,436.0,174.0,419.0,139.0
138,train,COCO_val2014_000000232503.jpg,98.54553937911987,591.0,82.0,377.0,82.0
139,train,COCO_val2014_000000232503.jpg,82.16604590415955,361.0,131.0,377.0,98.0
140,train,COCO_val2014_000000232538.jpg,96.67965173721313,535.0,92.0,350.0,203.0
141,train,COCO_val2014_000000241297.jpg,99.04981255531311,559.0,164.0,378.0,148.0
142,train,COCO_val2014_000000248148.jpg,98.07124137878418,572.0,0.0,375.0,98.0
143,train,COCO_val2014_000000248148.jpg,89.17328119277954,359.0,16.0,310.0,114.0
144,train,COCO_val2014_000000248711.jpg,80.79912662506104,278.0,32.0,376.0,196.0
145,train,COCO_val2014_000000248761.jpg,80.48548698425293,540.0,49.0,426.0,278.0
146,train,COCO_val2014_000000256195.jpg,99.40813183784485,607.0,98.0,361.0,49.0
147,train,COCO_val2014_000000256367.jpg,97.28411436080933,476.0,131.0,295.0,114.0
148,train,COCO_val2014_000000256838.jpg,98.9938735961914,516.0,110.0,406.0,110.0
149,train,COCO_val2014_000000256852.jpg,93.54647397994995,360.0,129.0,302.0,129.0
150,train,COCO_val2014_000000257359.jpg,98.06416630744934,675.0,160.0,305.0,128.0
151,train,COCO_val2014_000000257586.jpg,91.35029315948486,432.0,43.0,346.0,144.0
152,train,COCO_val2014_000000263866.jpg,92.72381663322449,706.0,98.0,344.0,65.0
153,train,COCO_val2014_000000264013.jpg,98.43304753303528,653.0,0.0,310.0,98.0
154,train,COCO_val2014_000000264753.jpg,97.83550500869751,423.0,32.0,341.0,195.0
155,train,COCO_val2014_000000264753.jpg,93.91429424285889,211.0,32.0,357.0,195.0
156,train,COCO_val2014_000000264957.jpg,98.30325245857239,639.0,24.0,639.0,24.0
157,train,COCO_val2014_000000265579.jpg,92.05381274223328,267.0,59.0,504.0,252.0
158,train,COCO_val2014_000000272131.jpg,78.60342860221863,313.0,129.0,424.0,221.0
159,train,COCO_val2014_000000273918.jpg,99.29094314575195,653.0,0.0,424.0,0.0
160,train,COCO_val2014_000000273918.jpg,81.41661882400513,604.0,277.0,441.0,0.0
161,train,COCO_val2014_000000281028.jpg,98.92449378967285,701.0,-19.0,461.0,55.0
162,train,COCO_val2014_000000281028.jpg,83.01570415496826,424.0,55.0,479.0,18.0
163,train,COCO_val2014_000000281028.jpg,82.98107981681824,664.0,18.0,443.0,221.0
164,train,COCO_val2014_000000289630.jpg,92.92759895324707,627.0,-37.0,369.0,18.0
165,train,COCO_val2014_000000289870.jpg,96.42786383628845,684.0,146.0,440.0,65.0
166,train,COCO_val2014_000000290261.jpg,99.39879179000854,498.0,166.0,332.0,92.0
167,train,COCO_val2014_000000290293.jpg,97.69040942192078,501.0,0.0,275.0,25.0
168,train,COCO_val2014_000000290610.jpg,82.28883147239685,624.0,114.0,246.0,164.0
169,train,COCO_val2014_000000297046.jpg,98.48018288612366,570.0,61.0,293.0,138.0
170,train,COCO_val2014_000000297046.jpg,83.96036624908447,508.0,123.0,370.0,154.0
171,train,COCO_val2014_000000298718.jpg,97.4528968334198,541.0,49.0,312.0,164.0
172,train,COCO_val2014_000000298718.jpg,82.94647336006165,312.0,16.0,328.0,164.0
173,train,COCO_val2014_000000313057.jpg,98.70367050170898,509.0,131.0,344.0,82.0
174,train,COCO_val2014_000000313057.jpg,91.39137864112854,377.0,82.0,279.0,49.0
175,train,COCO_val2014_000000313057.jpg,80.48774003982544,246.0,98.0,213.0,82.0
176,train,COCO_val2014_000000321725.jpg,91.26095771789551,680.0,194.0,216.0,75.0
177,train,COCO_val2014_000000321725.jpg,88.74838948249817,605.0,-65.0,248.0,21.0
178,train,COCO_val2014_000000322831.jpg,85.46268939971924,573.0,65.0,311.0,114.0
179,train,COCO_val2014_000000323048.jpg,97.596675157547,611.0,0.0,305.0,70.0
180,train,COCO_val2014_000000330432.jpg,96.00105881690979,646.0,55.0,332.0,147.0
181,train,COCO_val2014_000000331667.jpg,91.0772979259491,650.0,290.0,318.0,96.0
182,train,COCO_val2014_000000331667.jpg,83.23807120323181,678.0,-28.0,360.0,27.0
183,train,COCO_val2014_000000337666.jpg,96.22251987457275,484.0,0.0,207.0,69.0
184,train,COCO_val2014_000000337666.jpg,91.92854762077332,775.0,-56.0,235.0,41.0
185,train,COCO_val2014_000000337666.jpg,83.4390938282013,692.0,276.0,263.0,41.0
186,train,COCO_val2014_000000337667.jpg,94.94832754135132,657.0,101.0,252.0,117.0
187,train,COCO_val2014_000000338255.jpg,99.69279170036316,612.0,80.0,370.0,48.0
188,train,COCO_val2014_000000338986.jpg,80.09045124053955,186.0,31.0,573.0,403.0
189,train,COCO_val2014_000000346083.jpg,95.14528512954712,609.0,13.0,304.0,69.0
190,train,COCO_val2014_000000346107.jpg,91.70070290565491,541.0,147.0,279.0,164.0
191,train,COCO_val2014_000000346517.jpg,98.32964539527893,637.0,16.0,310.0,98.0
192,train,COCO_val2014_000000346954.jpg,96.18982672691345,458.0,114.0,344.0,213.0
193,train,COCO_val2014_000000347747.jpg,84.80336666107178,387.0,92.0,369.0,147.0
194,train,COCO_val2014_000000353977.jpg,99.54794645309448,674.0,82.0,329.0,82.0
195,train,COCO_val2014_000000354868.jpg,98.03035259246826,534.0,76.0,476.0,57.0
196,train,COCO_val2014_000000356298.jpg,85.80353260040283,650.0,-14.0,180.0,27.0
197,train,COCO_val2014_000000362352.jpg,98.65480065345764,582.0,21.0,582.0,-22.0
198,train,COCO_val2014_000000362352.jpg,81.53827786445618,582.0,0.0,280.0,0.0
199,train,COCO_val2014_000000362352.jpg,78.37103009223938,517.0,0.0,560.0,237.0
200,train,COCO_val2014_000000363072.jpg,93.95225644111633,467.0,-25.0,492.0,295.0
201,train,COCO_val2014_000000363072.jpg,83.27566981315613,246.0,0.0,492.0,295.0
202,train,COCO_val2014_000000363134.jpg,95.0488030910492,461.0,36.0,387.0,73.0
203,train,COCO_val2014_000000363134.jpg,86.0723078250885,553.0,73.0,276.0,36.0
204,train,COCO_val2014_000000370929.jpg,95.74060440063477,553.0,221.0,350.0,55.0
205,train,COCO_val2014_000000371945.jpg,98.0511486530304,692.0,124.0,346.0,124.0
206,train,COCO_val2014_000000371945.jpg,85.36620140075684,484.0,152.0,290.0,124.0
207,train,COCO_val2014_000000372087.jpg,97.60736227035522,541.0,98.0,344.0,131.0
208,train,COCO_val2014_000000378825.jpg,93.145352602005,655.0,311.0,426.0,32.0
209,train,COCO_val2014_000000378844.jpg,99.2046594619751,552.0,209.0,342.0,171.0
210,train,COCO_val2014_000000379183.jpg,97.41278886795044,534.0,145.0,340.0,161.0
211,train,COCO_val2014_000000379800.jpg,94.03564929962158,511.0,227.0,417.0,113.0
212,train,COCO_val2014_000000380388.jpg,99.74403381347656,534.0,55.0,442.0,110.0
213,train,COCO_val2014_000000387216.jpg,99.673992395401,519.0,74.0,326.0,133.0
214,train,COCO_val2014_000000387216.jpg,92.26371645927429,578.0,207.0,267.0,148.0
215,train,COCO_val2014_000000387216.jpg,82.92964696884155,296.0,29.0,326.0,103.0
216,train,COCO_val2014_000000387661.jpg,99.57459568977356,399.0,123.0,353.0,61.0
217,train,COCO_val2014_000000387661.jpg,95.36918997764587,461.0,169.0,292.0,15.0
218,train,COCO_val2014_000000387661.jpg,78.42551469802856,492.0,276.0,215.0,0.0
219,train,COCO_val2014_000000396496.jpg,90.99147915840149,604.0,103.0,414.0,189.0
220,train,COCO_val2014_000000396568.jpg,92.71641969680786,472.0,81.0,358.0,195.0
221,train,COCO_val2014_000000396692.jpg,96.82931303977966,616.0,-49.0,389.0,64.0
222,train,COCO_val2014_000000396692.jpg,83.34754705429077,308.0,32.0,389.0,81.0
223,train,COCO_val2014_000000403531.jpg,99.35545921325684,585.0,32.0,455.0,32.0
224,train,COCO_val2014_000000403531.jpg,80.58775067329407,601.0,81.0,390.0,162.0
225,train,COCO_val2014_000000403864.jpg,99.11224842071533,708.0,159.0,525.0,68.0
226,train,COCO_val2014_000000404071.jpg,99.4847059249878,443.0,164.0,344.0,82.0
227,train,COCO_val2014_000000404071.jpg,91.8356716632843,509.0,229.0,295.0,49.0
228,train,COCO_val2014_000000404071.jpg,81.79436326026917,492.0,295.0,197.0,49.0
229,train,COCO_val2014_000000405355.jpg,98.59856367111206,706.0,82.0,410.0,82.0
230,train,COCO_val2014_000000405355.jpg,84.3354344367981,459.0,16.0,394.0,98.0
231,train,COCO_val2014_000000411215.jpg,98.04768562316895,498.0,18.0,258.0,73.0
232,train,COCO_val2014_000000412094.jpg,96.23420834541321,702.0,98.0,375.0,32.0
233,train,COCO_val2014_000000419401.jpg,96.70562148094177,775.0,55.0,443.0,0.0
234,train,COCO_val2014_000000419401.jpg,79.91591095924377,627.0,0.0,406.0,147.0
235,train,COCO_val2014_000000419624.jpg,99.24293160438538,559.0,164.0,378.0,214.0
236,train,COCO_val2014_000000419624.jpg,83.93547534942627,592.0,279.0,345.0,197.0
237,train,COCO_val2014_000000419790.jpg,93.81143450737,609.0,193.0,263.0,124.0
238,train,COCO_val2014_000000419790.jpg,79.51514720916748,664.0,124.0,304.0,55.0
239,train,COCO_val2014_000000427646.jpg,96.72290086746216,591.0,131.0,295.0,164.0
240,train,COCO_val2014_000000428168.jpg,98.96883368492126,492.0,180.0,328.0,147.0
241,train,COCO_val2014_000000428168.jpg,88.32233548164368,443.0,114.0,279.0,131.0
242,train,COCO_val2014_000000429558.jpg,98.82434606552124,627.0,36.0,461.0,129.0
243,train,COCO_val2014_000000435795.jpg,86.10786199569702,391.0,149.0,466.0,298.0
244,train,COCO_val2014_000000436691.jpg,96.86561822891235,459.0,65.0,410.0,82.0
245,train,COCO_val2014_000000436722.jpg,92.19151139259338,375.0,101.0,462.0,28.0
246,train,COCO_val2014_000000437145.jpg,96.39683961868286,652.0,130.0,358.0,179.0
247,train,COCO_val2014_000000437284.jpg,92.77223348617554,756.0,0.0,424.0,55.0
248,train,COCO_val2014_000000437284.jpg,83.35005640983582,443.0,110.0,387.0,55.0
249,train,COCO_val2014_000000438220.jpg,93.23194622993469,722.0,0.0,443.0,65.0
250,train,COCO_val2014_000000438220.jpg,81.49855732917786,492.0,98.0,427.0,114.0
251,train,COCO_val2014_000000444879.jpg,85.97027659416199,515.0,202.0,331.0,165.0
252,train,COCO_val2014_000000453029.jpg,99.55363273620605,650.0,16.0,390.0,97.0
253,train,COCO_val2014_000000453029.jpg,94.3528413772583,390.0,0.0,341.0,97.0
254,train,COCO_val2014_000000454561.jpg,94.04125809669495,295.0,0.0,664.0,239.0
255,train,COCO_val2014_000000461628.jpg,96.97688221931458,367.0,95.0,271.0,95.0
256,train,COCO_val2014_000000461802.jpg,99.07914400100708,664.0,-74.0,424.0,147.0
257,train,COCO_val2014_000000461802.jpg,91.95610880851746,369.0,-19.0,443.0,184.0
258,train,COCO_val2014_000000461802.jpg,89.32667970657349,498.0,203.0,387.0,147.0
259,train,COCO_val2014_000000461802.jpg,89.0891432762146,184.0,0.0,443.0,110.0
260,train,COCO_val2014_000000461802.jpg,87.58434653282166,646.0,221.0,424.0,203.0
261,train,COCO_val2014_000000461973.jpg,98.77378940582275,576.0,214.0,296.0,131.0
262,train,COCO_val2014_000000462342.jpg,96.57635688781738,332.0,18.0,387.0,147.0
263,train,COCO_val2014_000000462584.jpg,83.49797129631042,568.0,48.0,357.0,178.0
264,train,COCO_val2014_000000462784.jpg,98.34860563278198,683.0,0.0,350.0,-19.0
265,train,COCO_val2014_000000469242.jpg,99.61010217666626,610.0,101.0,424.0,50.0
266,train,COCO_val2014_000000469242.jpg,87.98811435699463,356.0,118.0,440.0,50.0
267,train,COCO_val2014_000000469242.jpg,86.60885691642761,542.0,254.0,390.0,67.0
268,train,COCO_val2014_000000469246.jpg,96.41920924186707,738.0,147.0,406.0,55.0
269,train,COCO_val2014_000000469246.jpg,85.17088294029236,572.0,147.0,350.0,110.0
270,train,COCO_val2014_000000477623.jpg,99.17211532592773,572.0,92.0,369.0,73.0
271,train,COCO_val2014_000000478225.jpg,98.2959508895874,686.0,0.0,343.0,81.0
272,train,COCO_val2014_000000478225.jpg,85.91541647911072,326.0,0.0,294.0,81.0
273,train,COCO_val2014_000000478286.jpg,83.99524092674255,572.0,18.0,479.0,184.0
274,train,COCO_val2014_000000478386.jpg,82.5402557849884,609.0,197.0,246.0,98.0
275,train,COCO_val2014_000000479030.jpg,99.383544921875,505.0,130.0,260.0,97.0
276,train,COCO_val2014_000000479030.jpg,99.28815364837646,554.0,179.0,211.0,65.0
277,train,COCO_val2014_000000479030.jpg,89.9535059928894,619.0,81.0,326.0,48.0
278,train,COCO_val2014_000000486694.jpg,91.6610836982727,621.0,-50.0,294.0,130.0
279,train,COCO_val2014_000000486912.jpg,98.73299598693848,501.0,86.0,588.0,-52.0
280,train,COCO_val2014_000000493395.jpg,89.22813534736633,378.0,148.0,230.0,98.0
281,train,COCO_val2014_000000495557.jpg,89.52131271362305,701.0,239.0,369.0,166.0
282,train,COCO_val2014_000000501824.jpg,93.7525749206543,706.0,114.0,394.0,180.0
283,train,COCO_val2014_000000501824.jpg,90.99756479263306,492.0,197.0,377.0,180.0
284,train,COCO_val2014_000000502510.jpg,99.20011758804321,612.0,72.0,335.0,43.0
285,train,COCO_val2014_000000502510.jpg,90.52221775054932,553.0,218.0,291.0,87.0
286,train,COCO_val2014_000000502558.jpg,96.20611071586609,667.0,256.0,444.0,51.0
287,train,COCO_val2014_000000502895.jpg,99.4292140007019,573.0,114.0,409.0,-17.0
288,train,COCO_val2014_000000503585.jpg,97.30652570724487,476.0,16.0,246.0,-17.0
289,train,COCO_val2014_000000503585.jpg,85.22343039512634,624.0,114.0,312.0,0.0
290,train,COCO_val2014_000000503724.jpg,98.55812191963196,612.0,59.0,207.0,29.0
291,train,COCO_val2014_000000503724.jpg,93.19972395896912,306.0,9.0,187.0,79.0
292,train,COCO_val2014_000000503724.jpg,87.86530494689941,474.0,177.0,197.0,49.0
293,train,COCO_val2014_000000503724.jpg,85.70857048034668,612.0,336.0,227.0,19.0
294,train,COCO_val2014_000000503724.jpg,85.24929881095886,395.0,69.0,187.0,39.0
295,train,COCO_val2014_000000510343.jpg,98.1797456741333,509.0,114.0,344.0,131.0
296,train,COCO_val2014_000000510343.jpg,80.00461459159851,427.0,82.0,262.0,98.0
297,train,COCO_val2014_000000511420.jpg,99.18755292892456,733.0,69.0,318.0,27.0
298,train,COCO_val2014_000000511420.jpg,91.44663214683533,443.0,83.0,290.0,41.0
299,train,COCO_val2014_000000511623.jpg,99.4299054145813,512.0,193.0,346.0,69.0
300,train,COCO_val2014_000000519338.jpg,96.97254300117493,606.0,131.0,376.0,49.0
301,train,COCO_val2014_000000519801.jpg,96.38323783874512,568.0,162.0,324.0,146.0
302,train,COCO_val2014_000000520047.jpg,94.30413246154785,394.0,65.0,328.0,164.0
303,train,COCO_val2014_000000520047.jpg,91.61266684532166,509.0,131.0,312.0,131.0
304,train,COCO_val2014_000000527476.jpg,98.94638061523438,627.0,147.0,479.0,0.0
305,train,COCO_val2014_000000527476.jpg,85.98477840423584,627.0,313.0,369.0,73.0
306,train,COCO_val2014_000000527580.jpg,98.65163564682007,509.0,147.0,328.0,164.0
307,train,COCO_val2014_000000528142.jpg,89.28292989730835,689.0,361.0,361.0,-33.0
308,train,COCO_val2014_000000536168.jpg,94.08284425735474,659.0,164.0,447.0,211.0
